,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Morgan Frost,376.0,412.0,,,394.0,376.0,
Dylan Cozens,378.0,416.0,,,397.0,378.0,
Andrew Copp,398.0,,,,398.0,398.0,
Erik Brannstrom,379.0,420.0,,,399.5,379.0,
Adam Pelech,400.0,,,,400.0,400.0,
Oliver Wahlstrom,380.0,421.0,,,400.5,380.0,
Jake Gardiner,340.0,462.0,,,401.0,340.0,
Adam Gaudette,381.0,423.0,,,402.0,381.0,
Ryan McDonagh,358.0,449.0,,,403.5,358.0,
Tyler Benson,382.0,425.0,,,403.5,382.0,
Robby Fabbri,383.0,427.0,,,405.0,383.0,
Sam Bennett,405.0,,,,405.0,405.0,
Damon Severson,384.0,428.0,,,406.0,384.0,
Jack Studnicka,386.0,432.0,,,409.0,386.0,
Filip Chytil,387.0,434.0,,,410.5,387.0,
Joonas Donskoi,389.0,437.0,,,413.0,389.0,
Mathieu Perreault,364.0,464.0,,,414.0,364.0,
Troy Terry,391.0,439.0,,,415.0,391.0,
Curtis McElhinney,413.0,417.0,,,415.0,413.0,
Lucas Raymond,392.0,440.0,,,416.0,392.0,
Jordan Kyrou,393.0,441.0,,,417.0,393.0,
Alex Formenton,394.0,442.0,,,418.0,394.0,
Pheonix Copley,419.0,,,,419.0,419.0,
Moritz Seider,395.0,443.0,,,419.0,395.0,
Martin Frk,396.0,444.0,,,420.0,396.0,
Collin Delia,411.0,430.0,,,420.5,411.0,
Sami Vatanen,398.0,446.0,,,422.0,398.0,
Brian Elliott,422.0,,,,422.0,422.0,
Nolan Patrick,400.0,448.0,,,424.0,400.0,
Jack Campbell,424.0,,,,424.0,424.0,
Eeli Tolvanen,401.0,450.0,,,425.5,401.0,
Laurent Brossoit,426.0,,,,426.0,426.0,
Jack Quinn,402.0,451.0,,,426.5,402.0,
Danton Heinen,403.0,452.0,,,427.5,403.0,
Oskar Lindblom,404.0,453.0,,,428.5,404.0,
Anthony Stolarz,429.0,,,,429.0,429.0,
Erik Johnson,405.0,454.0,,,429.5,405.0,
Will Butcher,407.0,455.0,,,431.0,407.0,
Jonathan Bernier,431.0,,,,431.0,431.0,
Victor Soderstrom,408.0,456.0,,,432.0,408.0,
Chris Driedger,433.0,,,,433.0,433.0,
Nicolas Aube-Kubel,410.0,458.0,,,434.0,410.0,
Marcus Hogberg,435.0,,,,435.0,435.0,
Phillip Tomasino,412.0,459.0,,,435.5,412.0,
Casey DeSmith,436.0,,,,436.0,436.0,
Ville Husso,438.0,,,,438.0,438.0,
Corey Perry,414.0,465.0,,,439.5,414.0,
Thomas Harley,415.0,466.0,,,440.5,415.0,
